trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1421,False,"{'a': 0.001, 'e': 0.24171401689703645}",20,10,-22.812539985006694,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
1422,False,"{'a': 0.001, 'e': 0.24147242369687225}",30,18,23.677681410671976,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1423,False,"{'a': 0.001, 'e': 0.24123107196915192}",35,0,-87.10232529434626,"{0: 27, 1: 2, 2: 3, 3: 2, 4: 1}",0
1424,False,"{'a': 0.001, 'e': 0.24098996147252358}",30,23,0.9806487365717054,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1425,False,"{'a': 0.001, 'e': 0.24074909196587688}",25,8,20.84635001292265,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1426,False,"{'a': 0.001, 'e': 0.24050846320834213}",25,12,20.928159364747387,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1427,False,"{'a': 0.001, 'e': 0.2402680749592907}",20,12,16.099683147602175,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1428,False,"{'a': 0.001, 'e': 0.2400279269783342}",20,10,13.70483595557412,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1429,False,"{'a': 0.001, 'e': 0.2397880190253247}",25,0,-32.35645961675628,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
1430,False,"{'a': 0.001, 'e': 0.2395483508603542}",20,12,-40.27390133777304,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 1}",1
1431,False,"{'a': 0.001, 'e': 0.23930892224375455}",20,11,19.385475610903384,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1432,False,"{'a': 0.001, 'e': 0.23906973293609704}",30,13,6.944921387846243,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
1433,False,"{'a': 0.001, 'e': 0.23883078269819244}",20,14,10.623434197653996,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1434,False,"{'a': 0.001, 'e': 0.2385920712910904}",20,11,-3.66106456432847,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
1435,False,"{'a': 0.001, 'e': 0.23835359847607956}",25,0,11.610329745338058,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1436,False,"{'a': 0.001, 'e': 0.23811536401468703}",25,17,15.8892130151896,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1437,False,"{'a': 0.001, 'e': 0.2378773676686784}",25,18,12.040785490451846,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1438,False,"{'a': 0.001, 'e': 0.2376396092000572}",25,7,-27.82536293922614,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
1439,False,"{'a': 0.001, 'e': 0.23740208837106508}",20,9,14.132181685421799,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1440,False,"{'a': 0.001, 'e': 0.23716480494418105}",25,6,30.319119742796232,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1441,False,"{'a': 0.001, 'e': 0.23692775868212176}",20,11,14.901277325355416,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1442,False,"{'a': 0.001, 'e': 0.23669094934784088}",20,0,-33.784226919886024,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
1443,False,"{'a': 0.001, 'e': 0.2364543767045291}",20,12,16.066509712577087,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1444,False,"{'a': 0.001, 'e': 0.23621804051561368}",20,14,9.183432706386817,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1445,False,"{'a': 0.001, 'e': 0.23598194054475852}",20,12,7.485811538866051,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1446,False,"{'a': 0.001, 'e': 0.23574607655586352}",20,14,13.562680171724464,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
